Zone,StationName,Year,Month,Day,AirTemperature,Lat,Long
1,6,2014,9,23,63.69923571428574,47.66127,-122.301926
1,6,2014,9,24,62.743574468084965,47.66127,-122.301926
1,6,2014,9,25,62.15113780918725,47.66127,-122.301926
1,6,2014,9,26,62.140920289854925,47.66127,-122.301926
1,6,2014,9,27,61.94331205673767,47.66127,-122.301926
1,6,2014,9,28,58.283879003558745,47.66127,-122.301926
1,6,2014,9,29,57.569943262411456,47.66127,-122.301926
1,6,2014,9,30,59.455828047921074,47.66127,-122.301926
1,6,2014,10,1,58.722076655052206,47.66127,-122.301926
1,6,2014,10,2,60.82829152542371,47.66127,-122.301926
1,6,2014,10,3,59.47387943262412,47.66127,-122.301926
1,6,2014,10,4,62.19125531914909,47.66127,-122.301926
1,6,2014,10,5,63.72997894736845,47.66127,-122.301926
1,6,2014,10,6,65.64045774647884,47.66127,-122.301926
1,6,2014,10,7,62.133682310469176,47.66127,-122.301926
1,6,2014,10,8,61.45508250825091,47.66127,-122.301926
1,6,2014,10,9,58.52303728813567,47.66127,-122.301926
1,6,2014,10,10,58.698809859154835,47.66127,-122.301926
1,6,2014,10,11,59.49785611510796,47.66127,-122.301926
1,6,2014,10,12,59.16171223021591,47.66127,-122.301926
1,6,2014,10,13,61.29639857651237,47.66127,-122.301926
1,6,2014,10,14,56.975540069686396,47.66127,-122.301926
1,6,2014,10,15,55.887107913669055,47.66127,-122.301926
1,6,2014,10,16,58.403893238434165,47.66127,-122.301926
1,6,2014,10,17,58.02167259786478,47.66127,-122.301926
1,6,2014,10,18,60.62082876712329,47.66127,-122.301926
1,6,2014,10,19,63.32320577617326,47.66127,-122.301926
1,6,2014,10,20,59.90150177935941,47.66127,-122.301926
1,6,2014,10,21,58.178272727272734,47.66127,-122.301926
1,6,2014,10,22,56.49205469845728,47.66127,-122.301926
1,6,2014,10,23,53.00093189964156,47.66127,-122.301926
1,6,2014,10,24,53.57501398601403,47.66127,-122.301926
1,6,2014,10,25,54.6787147595357,47.66127,-122.301926
1,6,2014,10,26,51.747291196388225,47.66127,-122.301926
1,6,2014,10,27,52.396692307692334,47.66127,-122.301926
1,6,2014,10,28,54.33200689655169,47.66127,-122.301926
1,6,2014,10,29,57.77444128113876,47.66127,-122.301926
1,6,2014,10,30,56.0990821917808,47.66127,-122.301926
1,6,2014,10,31,52.59627561837465,47.66127,-122.301926
1,6,2014,11,1,50.20910320284698,47.66127,-122.301926
1,6,2014,11,2,51.3524468864468,47.66127,-122.301926
1,6,2014,11,3,55.03668720054745,47.66127,-122.301926
1,6,2014,11,4,54.827688442211034,47.66127,-122.301926
1,6,2014,11,5,55.19779856115106,47.66127,-122.301926
1,6,2014,11,6,56.600203508771955,47.66127,-122.301926
1,6,2014,11,7,51.74929078014175,47.66127,-122.301926
1,6,2014,11,8,48.259935483870905,47.66127,-122.301926
1,6,2014,11,9,49.42201428571418,47.66127,-122.301926
1,6,2014,11,10,47.18102127659575,47.66127,-122.301926
1,6,2014,11,11,41.691068100358365,47.66127,-122.301926
1,6,2014,11,12,38.633090252707554,47.66127,-122.301926
1,6,2014,11,13,38.41221908127207,47.66127,-122.301926
1,6,2014,11,14,36.874470175438596,47.66127,-122.301926
1,6,2014,11,15,37.35428169014084,47.66127,-122.301926
1,6,2014,11,16,40.32400699300699,47.66127,-122.301926
1,6,2014,11,17,39.66610752688176,47.66127,-122.301926
1,6,2014,11,18,38.49254467476765,47.66127,-122.301926
1,6,2014,11,19,44.50194982078851,47.66127,-122.301926
1,6,2014,11,20,48.181249999999956,47.66127,-122.301926
1,6,2014,11,21,49.22250349650347,47.66127,-122.301926
1,6,2014,11,22,47.16614915254241,47.66127,-122.301926
1,6,2014,11,23,48.414368231046936,47.66127,-122.301926
1,6,2014,11,24,46.241537366548016,47.66127,-122.301926
1,6,2014,11,25,52.13589323843415,47.66127,-122.301926
1,6,2014,11,26,57.65700709219867,47.66127,-122.301926
1,6,2014,11,27,56.63825531914889,47.66127,-122.301926
1,6,2014,11,28,45.68166784452296,47.66127,-122.301926
1,6,2014,11,29,32.33103225806449,47.66127,-122.301926
1,6,2014,11,30,30.102421818181863,47.66127,-122.301926
1,6,2014,12,1,32.87371223021584,47.66127,-122.301926
1,6,2014,12,2,34.80426428571429,47.66127,-122.301926
1,6,2014,12,3,40.39919587628873,47.66127,-122.301926
1,6,2014,12,4,42.928727941176426,47.66127,-122.301926
1,6,2014,12,5,47.43567973856208,47.66127,-122.301926
1,6,2014,12,6,49.844412811387855,47.66127,-122.301926
1,6,2014,12,7,48.430225352112664,47.66127,-122.301926
1,6,2014,12,8,51.75896113074223,47.66127,-122.301926
1,6,2014,12,9,55.71633451957289,47.66127,-122.301926
1,6,2014,12,10,56.69618181818185,47.66127,-122.301926
1,6,2014,12,11,51.379295774647936,47.66127,-122.301926
1,6,2014,12,12,50.550919298245645,47.66127,-122.301926
1,6,2014,12,13,45.60443884892081,47.66127,-122.301926
1,6,2014,12,14,44.687350180505405,47.66127,-122.301926
1,6,2014,12,15,47.04103914590755,47.66127,-122.301926
1,6,2014,12,16,47.881566433566405,47.66127,-122.301926
1,6,2014,12,17,45.68515714285716,47.66127,-122.301926
1,6,2014,12,18,46.79401423487546,47.66127,-122.301926
1,6,2014,12,19,49.065594306049796,47.66127,-122.301926
1,6,2014,12,20,48.6347719298246,47.66127,-122.301926
1,6,2014,12,21,52.04974907749093,47.66127,-122.301926
1,6,2014,12,22,46.79770397111916,47.66127,-122.301926
1,6,2014,12,23,46.94404240282689,47.66127,-122.301926
1,6,2014,12,24,42.22623076923074,47.66127,-122.301926
1,6,2014,12,25,42.11147353361948,47.66127,-122.301926
1,6,2014,12,26,40.486434482758575,47.66127,-122.301926
1,6,2014,12,27,44.53981294964024,47.66127,-122.301926
1,6,2014,12,28,41.59477697841729,47.66127,-122.301926
1,6,2014,12,29,39.0691010452962,47.66127,-122.301926
1,6,2014,12,30,33.34193877551018,47.66127,-122.301926
1,6,2014,12,31,33.7870472727272,47.66127,-122.301926
1,6,2015,1,1,34.62935507246373,47.66127,-122.301926
1,6,2015,1,2,37.99842446043172,47.66127,-122.301926
1,6,2015,1,3,39.6828285714286,47.66127,-122.301926
1,6,2015,1,4,44.28320430107524,47.66127,-122.301926
1,6,2015,1,5,54.31287833827887,47.66127,-122.301926
1,6,2015,1,6,49.213740506329074,47.66127,-122.301926
1,6,2015,1,7,44.94317241379305,47.66127,-122.301926
1,6,2015,1,8,41.73187713310567,47.66127,-122.301926
1,6,2015,1,9,41.52091772151902,47.66127,-122.301926
1,6,2015,1,10,44.91295308641946,47.66127,-122.301926
1,6,2015,1,11,46.66872916666675,47.66127,-122.301926
1,6,2015,1,12,46.17840624999999,47.66127,-122.301926
1,6,2015,1,13,43.39700663850326,47.66127,-122.301926
1,6,2015,1,14,41.26152504638211,47.66127,-122.301926
1,6,2015,1,15,41.094569620253196,47.66127,-122.301926
1,6,2015,1,16,48.17908441558433,47.66127,-122.301926
1,6,2015,1,17,44.49230872483207,47.66127,-122.301926
1,6,2015,1,18,50.70041428571441,47.66127,-122.301926
