index,record_number,month,quality_code,rainfall_in,site,time,wateryear
15930171,67792907,Mar,0.0,0.0,RG18,03/14/2011 10:15:00 AM,2011
23526741,12735378,May,0.0,0.0,RG03,05/30/2016 09:45:00 AM,2016
5151557,62938166,Sep,0.0,0.02,RG17,09/16/2005 04:25:00 PM,2005
17032621,38005348,Aug,0.0,0.0,RG10_30,08/30/2012 09:05:00 AM,2012
19365695,63687728,Oct,0.0,0.0,RG17,11/01/2012 07:55:00 AM,2013
4624420,41549754,Sep,0.0,0.0,RG11,09/11/2005 08:20:00 AM,2005
11437625,29113906,Jun,0.0,0.0,RG08,06/18/2009 07:25:00 AM,2009
907079,37028606,May,0.0,0.0,RG10_30,05/18/2003 09:55:00 PM,2003
25358706,25618476,Nov,7.0,0.0,RG07,11/23/2016 09:30:00 AM,2017
8101598,41663092,Oct,0.0,0.0,RG11,10/09/2006 09:10:00 PM,2007
5394102,3087221,Jan,0.0,0.0,RG01,01/06/2006 08:30:00 PM,2006
10563339,67472123,Feb,0.0,0.0,RG18,02/24/2008 02:15:00 PM,2008
20862448,50985796,Jan,0.0,0.0,RG14,01/27/2014 09:20:00 AM,2014
23790231,25514769,Nov,0.0,0.0,RG07,11/29/2015 07:15:00 AM,2016
18622743,33738991,Oct,0.0,0.0,RG09,10/07/2012 03:15:00 PM,2013
20486762,33921090,Jul,0.0,0.0,RG09,07/01/2014 10:10:00 PM,2014
9424139,20441286,May,0.0,0.0,RG05,05/05/2008 12:55:00 AM,2008
4785877,50055721,Mar,0.0,0.0,RG14,03/25/2005 11:05:00 PM,2005
2032414,11437915,Jan,0.0,0.0,RG03,01/29/2004 07:50:00 AM,2004
6506236,45921905,Aug,0.0,0.0,RG12,08/06/2006 10:20:00 AM,2006
23860400,25584938,Jul,0.0,0.0,RG07,07/29/2016 10:40:00 PM,2016
19599892,72266435,Jan,0.0,0.0,RG20_25,01/23/2013 12:20:00 PM,2013
10960633,11947894,Dec,0.0,0.0,RG03,12/04/2008 02:05:00 AM,2009
13447160,37786031,Jul,0.0,0.0,RG10_30,07/30/2010 08:40:00 PM,2010
23428142,8464812,Jun,0.0,0.0,RG02,06/23/2016 01:10:00 AM,2016
15196266,37853217,Mar,0.0,0.0,RG10_30,03/21/2011 03:30:00 AM,2011
17804369,72152832,Dec,0.0,0.0,RG20_25,12/26/2011 01:25:00 AM,2012
16111272,3708263,Dec,0.0,0.0,RG01,12/03/2011 06:00:00 AM,2012
13106601,24928707,May,0.0,0.0,RG07,05/04/2010 08:45:00 AM,2010
18537480,29481473,Dec,0.0,0.0,RG08,12/15/2012 02:00:00 PM,2013
18013994,8096712,Dec,0.0,0.0,RG02,12/22/2012 10:10:00 PM,2013
4563263,41488597,Feb,0.0,0.0,RG11,02/10/2005 11:55:00 PM,2005
11838188,46203489,Apr,0.0,0.0,RG12,04/10/2009 03:40:00 AM,2009
3600633,2975672,Dec,0.0,0.0,RG01,12/15/2004 12:45:00 PM,2005
1362136,54172683,Sep,0.0,0.0,RG15,09/15/2003 11:20:00 PM,2003
5634868,11672497,Apr,0.0,0.0,RG03,04/22/2006 08:20:00 PM,2006
17582994,63587523,Nov,0.0,0.0,RG17,11/19/2011 09:30:00 AM,2012
3834917,11554466,Mar,0.0,0.0,RG03,03/09/2005 12:25:00 AM,2005
19062568,50867836,Dec,0.0,0.0,RG14,12/13/2012 07:20:00 PM,2013
15960847,67823583,Jun,0.0,0.0,RG18,06/28/2011 10:35:00 PM,2011
20400022,29662095,Sep,0.0,0.0,RG08,09/03/2014 05:50:00 PM,2014
22839101,59625039,Nov,0.0,0.0,RG16,11/16/2014 06:25:00 PM,2015
26003808,68426768,Mar,7.0,0.0,RG18,03/23/2017 08:00:00 AM,2017
19658506,72325049,Aug,0.0,0.0,RG20_25,08/15/2013 12:50:00 AM,2013
18479204,25250942,May,0.0,0.0,RG07,05/27/2013 05:40:00 AM,2013
4921880,54363979,Jul,0.0,0.0,RG15,07/11/2005 04:40:00 AM,2005
8490158,54568417,Jun,0.0,0.0,RG15,06/21/2007 01:10:00 AM,2007
2685705,37123008,Apr,0.0,0.0,RG10_30,04/10/2004 04:45:00 PM,2004
1126377,45592414,Jun,0.0,0.0,RG12,06/19/2003 08:45:00 AM,2003
20995453,55291056,May,0.0,0.0,RG15,05/04/2014 05:05:00 AM,2014
19988881,16734189,Oct,0.0,0.0,RG04,10/06/2013 04:05:00 AM,2014
17133014,42277708,Aug,0.0,0.0,RG11,08/12/2012 11:10:00 PM,2012
99723,2843210,Sep,0.0,0.0,RG01,09/12/2003 02:15:00 PM,2003
24725297,63997538,Oct,0.0,0.0,RG17,10/13/2015 01:25:00 AM,2016
19428929,63750962,Jun,0.0,0.0,RG17,06/08/2013 09:25:00 PM,2013
13172196,29166557,Dec,0.0,0.0,RG08,12/18/2009 03:00:00 AM,2010
19796048,8196846,Dec,0.0,0.0,RG02,12/05/2013 02:40:00 PM,2014
9721034,33254082,Feb,0.0,0.0,RG09,02/27/2008 10:10:00 PM,2008
