index,StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
18623697,JoseRizalBridgeNorth,"(47.59653, -122.317301)",11/14/2016 09:53:00 PM,1954675,52.12,51.0
13830459,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",02/12/2016 07:02:00 AM,657613,53.07,50.87
11097824,MagnoliaBridge,"(47.633454, -122.387341)",12/31/2015 10:23:00 AM,1600341,34.16,43.68
24125073,AuroraBridge,"(47.643174, -122.347278)",06/30/2017 02:32:00 AM,2357988,70.42,57.5
3006728,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",09/26/2014 11:26:00 PM,971224,41.09,41.09
2713569,AuroraBridge,"(47.643174, -122.347278)",09/01/2014 04:13:00 AM,954257,64.98,59.27
20149209,NE45StViaduct,"(47.66127, -122.301929)",02/25/2017 02:56:00 PM,2263733,50.02,43.06
20216149,AlbroPlaceAirportWay,"(47.547426, -122.314114)",03/02/2017 12:24:00 AM,1496718,45.58,44.62
4131527,NE45StViaduct,"(47.66127, -122.301929)",12/23/2014 11:44:00 PM,1119459,44.77,42.17
20192064,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",02/28/2017 11:36:00 AM,2246340,42.96,42.96
6048005,NE45StViaduct,"(47.66127, -122.301929)",04/13/2015 10:00:00 AM,1278415,53.53,50.14
11474443,SpokaneSwingBridge,"(47.571389, -122.351743)",01/06/2016 03:17:00 PM,1556208,47.27,49.6
15477810,MagnoliaBridge,"(47.633454, -122.387341)",04/08/2016 03:20:00 AM,1742419,59.45,54.29
17294697,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",08/12/2016 10:35:00 PM,813990,77.55,77.55
7468002,AlbroPlaceAirportWay,"(47.547426, -122.314114)",06/30/2015 04:39:00 AM,617073,80.1,65.44
5357671,AuroraBridge,"(47.643174, -122.347278)",03/04/2015 06:53:00 AM,1219437,39.42,33.85
27510167,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",10/23/2017 11:53:00 AM,2587576,61.62,61.62
403020,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",05/01/2014 09:26:00 PM,757984,76.99,76.99
22580218,NE45StViaduct,"(47.66127, -122.301929)",06/08/2017 10:12:00 AM,2411709,63.8,58.22
11463573,JoseRizalBridgeNorth,"(47.59653, -122.317301)",01/06/2016 08:22:00 AM,1503144,36.86,39.11
13052289,NE45StViaduct,"(47.66127, -122.301929)",02/10/2016 09:06:00 AM,1714742,46.58,47.46
30047536,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",02/28/2018 02:50:00 AM,2771413,39.62,39.62
25982015,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",08/16/2017 03:26:00 PM,2489869,89.2,89.2
20836656,NE45StViaduct,"(47.66127, -122.301929)",04/10/2017 02:27:00 PM,2327004,63.0,51.4
6132048,JoseRizalBridgeNorth,"(47.59653, -122.317301)",04/18/2015 11:51:00 PM,1125292,65.22,54.86
3032787,AuroraBridge,"(47.643174, -122.347278)",09/29/2014 06:36:00 AM,994720,57.6,53.89
5161367,JoseRizalBridgeNorth,"(47.59653, -122.317301)",02/22/2015 01:12:00 AM,1044793,45.87,42.48
31578759,SpokaneSwingBridge,"(47.571389, -122.351743)",04/14/2018 05:38:00 AM,2749329,47.85,51.67
23446350,MagnoliaBridge,"(47.633454, -122.387341)",06/16/2017 03:19:00 AM,2367377,56.48,56.08
10734047,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",12/22/2015 02:39:00 PM,581842,45.49,44.66
799820,AlbroPlaceAirportWay,"(47.547426, -122.314114)",04/23/2014 11:41:00 PM,558890,51.91,48.92
21450659,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",05/17/2017 06:56:00 PM,1320667,66.95,58.6
3797361,JoseRizalBridgeNorth,"(47.59653, -122.317301)",11/30/2014 08:15:00 PM,924976,28.72,32.41
5112839,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",02/19/2015 06:24:00 AM,35479,48.37,48.37
27218694,JoseRizalBridgeNorth,"(47.59653, -122.317301)",10/08/2017 05:39:00 PM,2426681,65.09,64.68
10114623,JoseRizalBridgeNorth,"(47.59653, -122.317301)",11/21/2015 07:27:00 AM,1436849,32.29,36.49
4284148,MagnoliaBridge,"(47.633454, -122.387341)",01/03/2015 04:43:00 PM,1079440,41.43,41.39
12369655,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",02/04/2016 02:53:00 AM,644496,42.0,43.79
28132370,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",11/29/2017 12:09:00 PM,2640932,49.11,49.11
21438647,NE45StViaduct,"(47.66127, -122.301929)",05/16/2017 08:21:00 PM,2379198,58.96,50.77
29801987,NE45StViaduct,"(47.66127, -122.301929)",02/12/2018 12:52:00 PM,2770452,50.22,45.83
20982247,AlbroPlaceAirportWay,"(47.547426, -122.314114)",04/19/2017 04:25:00 PM,1566738,61.9,56.44
24527928,NE45StViaduct,"(47.66127, -122.301929)",07/12/2017 09:46:00 AM,2460642,74.87,62.68
17698677,AuroraBridge,"(47.643174, -122.347278)",09/06/2016 01:37:00 AM,1960868,62.57,55.66
6947360,AlbroPlaceAirportWay,"(47.547426, -122.314114)",05/28/2015 07:34:00 PM,570448,95.4,79.73
11577643,NE45StViaduct,"(47.66127, -122.301929)",01/09/2016 07:02:00 PM,1669258,40.73,42.36
9246398,MagnoliaBridge,"(47.633454, -122.387341)",10/03/2015 06:13:00 AM,1471870,53.99,54.54
2958735,AlbroPlaceAirportWay,"(47.547426, -122.314114)",09/22/2014 04:55:00 PM,213172,87.0,73.09
21238665,NE45StViaduct,"(47.66127, -122.301929)",05/03/2017 09:52:00 AM,2359849,58.54,57.08
10466832,JoseRizalBridgeNorth,"(47.59653, -122.317301)",12/09/2015 09:19:00 PM,1463601,47.17,46.56
29931145,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",02/20/2018 07:20:00 AM,2760163,31.31,31.31
11892546,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",01/18/2016 02:11:00 AM,621322,45.2,45.97
18628319,MagnoliaBridge,"(47.633454, -122.387341)",11/15/2016 04:28:00 AM,2060786,50.16,48.4
2522595,MagnoliaBridge,"(47.633454, -122.387341)",08/15/2014 09:00:00 AM,875876,64.85,62.36
24198270,MagnoliaBridge,"(47.633454, -122.387341)",06/30/2017 10:07:00 PM,2388665,79.41,65.88
30537885,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",03/23/2018 10:41:00 AM,1659996,44.11,44.11
29411872,AuroraBridge,"(47.643174, -122.347278)",01/24/2018 06:01:00 AM,2657775,44.51,47.73
546815,AuroraBridge,"(47.643174, -122.347278)",05/05/2014 05:56:00 PM,783720,63.73,57.93
12374687,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",02/04/2016 06:39:00 AM,539494,43.4,43.4
